alpha,beta,gamma,delta,gamma1,gamma2,k,alive,stddev
-2.82413,-0.905772,5,0.001,0.732811,0.86044,0.580493,2708,13.7545
-2.82413,-0.905772,5,0.001,1.43724,0.3025,-0.88873,4106,15.3047
-2.82413,-0.905772,5,0.001,3.36119,1.90069,-0.516953,3635,9.90719
-2.82413,-0.905772,5,0.001,3.72338,1.41179,0.352886,2807,12.0155
0.0704245,-1.014,5,0.000817193,3.03005,0.3025,-0.0298349,4412,10.4612
0.45981,-1.9739,3.05065,0.000322304,3.03005,0.3025,-0.0298349,4511,8.10454
-0.388701,-2.37658,5,0.000162638,3.03005,0.3025,-0.0298349,4248,11.9896
0.388959,-1.47295,3.94137,0.001,3.03005,0.3025,-0.0298349,4452,6.48556
0.622852,-1.50856,4.97986,0.000321641,3.03005,0.3025,-0.0298349,4191,8.95453
-0.180822,-3,3.75423,1e-08,4.78799,3.72558,0.530564,4590,6.6132
-0.180822,-3,3.75423,1e-08,0.732811,0.86044,0.580493,4166,11.5698
-0.180822,-3,3.75423,1e-08,1.43724,0.3025,-0.88873,4715,3.83599
-0.180822,-3,3.75423,1e-08,3.36119,1.90069,-0.516953,4527,5.77136
-0.180822,-3,3.75423,1e-08,3.72338,1.41179,0.352886,4152,9.17878
0.0704245,-1.014,5,0.000817193,3.07202,4.94208,1,4630,4.2408
0.45981,-1.9739,3.05065,0.000322304,3.07202,4.94208,1,4682,3.63791
-0.388701,-2.37658,5,0.000162638,3.07202,4.94208,1,4506,6.06089
0.388959,-1.47295,3.94137,0.001,3.07202,4.94208,1,4686,3.2186
-0.180822,-3,3.75423,1e-08,3.07202,4.94208,1,4596,6.47592
1.27917,-2.28173,2.38969,0.000191328,4.78799,3.72558,0.530564,4504,6.22495
1.27917,-2.28173,2.38969,0.000191328,0.732811,0.86044,0.580493,4341,8.97022
1.27917,-2.28173,2.38969,0.000191328,1.43724,0.3025,-0.88873,4132,5.99479
1.27917,-2.28173,2.38969,0.000191328,3.36119,1.90069,-0.516953,4137,8.97196
1.27917,-2.28173,2.38969,0.000191328,3.72338,1.41179,0.352886,4318,11.2687
0.0704245,-1.014,5,0.000817193,6,1.65122,0.352886,4302,14.1857
0.45981,-1.9739,3.05065,0.000322304,6,1.65122,0.352886,4422,8.68817
1.27917,-2.28173,2.38969,0.000191328,6,1.65122,0.352886,4294,11.9993
0.388959,-1.47295,3.94137,0.001,6,1.65122,0.352886,4334,11.7732
-0.180822,-3,3.75423,1e-08,6,1.65122,0.352886,4252,13.0168
-1.5896,-1.40303,3.5728,0.001,4.78799,3.72558,0.530564,3896,10.8685
-1.5896,-1.40303,3.5728,0.001,0.732811,0.86044,0.580493,2792,18.9901
-1.5896,-1.40303,3.5728,0.001,1.43724,0.3025,-0.88873,4385,14.4416
-1.5896,-1.40303,3.5728,0.001,3.36119,1.90069,-0.516953,3927,6.9008
-1.5896,-1.40303,3.5728,0.001,3.72338,1.41179,0.352886,3066,9.96165
0.0704245,-1.014,5,0.000817193,6,1.30899,-0.105417,4251,11.7671
0.45981,-1.9739,3.05065,0.000322304,6,1.30899,-0.105417,4301,8.28567
1.27917,-2.28173,2.38969,0.000191328,6,1.30899,-0.105417,4182,10.7114
0.388959,-1.47295,3.94137,0.001,6,1.30899,-0.105417,4320,11.8796
-0.180822,-3,3.75423,1e-08,6,1.30899,-0.105417,4278,10.7405
1.48181,-1.47111,2.09546,0.000456226,4.78799,3.72558,0.530564,4140,11.686
1.48181,-1.47111,2.09546,0.000456226,0.732811,0.86044,0.580493,4206,13.7153
1.48181,-1.47111,2.09546,0.000456226,1.43724,0.3025,-0.88873,4076,8.43727
1.48181,-1.47111,2.09546,0.000456226,3.36119,1.90069,-0.516953,4043,14.4426
1.48181,-1.47111,2.09546,0.000456226,3.72338,1.41179,0.352886,4254,16.9775
0.0704245,-1.014,5,0.000817193,6,2.46643,-0.992706,4642,7.11403
0.45981,-1.9739,3.05065,0.000322304,6,2.46643,-0.992706,4642,5.50993
1.27917,-2.28173,2.38969,0.000191328,6,2.46643,-0.992706,4262,6.64149
0.388959,-1.47295,3.94137,0.001,6,2.46643,-0.992706,4670,3.51559
-0.180822,-3,3.75423,1e-08,6,2.46643,-0.992706,4682,4.59449
2.42251,-2.47196,2.11415,0.001,4.78799,3.72558,0.530564,4245,9.62885
2.42251,-2.47196,2.11415,0.001,0.732811,0.86044,0.580493,4257,10.8424
2.42251,-2.47196,2.11415,0.001,1.43724,0.3025,-0.88873,3969,10.3288
2.42251,-2.47196,2.11415,0.001,3.36119,1.90069,-0.516953,4172,10.5682
2.42251,-2.47196,2.11415,0.001,3.72338,1.41179,0.352886,4292,11.2389
0.0704245,-1.014,5,0.000817193,5.45459,2.28664,-0.676278,4545,9.07929
0.45981,-1.9739,3.05065,0.000322304,5.45459,2.28664,-0.676278,4557,6.09527
1.27917,-2.28173,2.38969,0.000191328,5.45459,2.28664,-0.676278,4186,7.12281
0.388959,-1.47295,3.94137,0.001,5.45459,2.28664,-0.676278,4573,5.17468
-0.180822,-3,3.75423,1e-08,5.45459,2.28664,-0.676278,4631,4.75616
0.848384,-1.47295,2.12825,0.000809145,4.78799,3.72558,0.530564,4444,7.51249
0.848384,-1.47295,2.12825,0.000809145,0.732811,0.86044,0.580493,4384,13.4443
0.848384,-1.47295,2.12825,0.000809145,1.43724,0.3025,-0.88873,4138,7.20135
0.848384,-1.47295,2.12825,0.000809145,3.36119,1.90069,-0.516953,4085,7.34608
0.848384,-1.47295,2.12825,0.000809145,3.72338,1.41179,0.352886,4248,12.026
0.0704245,-1.014,5,0.000817193,2.9946,3.95514,1,4555,6.41014
0.45981,-1.9739,3.05065,0.000322304,2.9946,3.95514,1,4645,5.45113
1.27917,-2.28173,2.38969,0.000191328,2.9946,3.95514,1,4480,6.37377
0.388959,-1.47295,3.94137,0.001,2.9946,3.95514,1,4641,4.06923
-0.180822,-3,3.75423,1e-08,2.9946,3.95514,1,4567,6.90985
3,-0.891527,2.38969,0.000763356,4.78799,3.72558,0.530564,3577,13.6655
3,-0.891527,2.38969,0.000763356,0.732811,0.86044,0.580493,4082,14.3478
3,-0.891527,2.38969,0.000763356,1.43724,0.3025,-0.88873,4048,10.6536
3,-0.891527,2.38969,0.000763356,3.36119,1.90069,-0.516953,3880,11.4018
3,-0.891527,2.38969,0.000763356,3.72338,1.41179,0.352886,4002,18.9006
0.0704245,-1.014,5,0.000817193,4.76499,6,0.824201,4681,3.90462
0.45981,-1.9739,3.05065,0.000322304,4.76499,6,0.824201,4683,3.17645
1.27917,-2.28173,2.38969,0.000191328,4.76499,6,0.824201,4548,3.26917
0.388959,-1.47295,3.94137,0.001,4.76499,6,0.824201,4693,3.38598
-0.180822,-3,3.75423,1e-08,4.76499,6,0.824201,4670,4.3857
-0.0845517,-2.60644,3.79169,1e-08,4.78799,3.72558,0.530564,4560,7.51665
-0.0845517,-2.60644,3.79169,1e-08,0.732811,0.86044,0.580493,4138,14.3304
-0.0845517,-2.60644,3.79169,1e-08,1.43724,0.3025,-0.88873,4685,4.48914
-0.0845517,-2.60644,3.79169,1e-08,3.36119,1.90069,-0.516953,4499,5.85469
-0.0845517,-2.60644,3.79169,1e-08,3.72338,1.41179,0.352886,4127,10.4491
0.0704245,-1.014,5,0.000817193,3.28666,1e-06,-0.400781,4640,4.30116
0.45981,-1.9739,3.05065,0.000322304,3.28666,1e-06,-0.400781,4657,4.13021
-0.0845517,-2.60644,3.79169,1e-08,3.28666,1e-06,-0.400781,4648,6.55744
0.388959,-1.47295,3.94137,0.001,3.28666,1e-06,-0.400781,4631,3.87248
-0.180822,-3,3.75423,1e-08,3.28666,1e-06,-0.400781,4652,6.71286
-1.90688,-2.97607,4.93975,1e-08,4.78799,3.72558,0.530564,4153,9.48663
-1.90688,-2.97607,4.93975,1e-08,0.732811,0.86044,0.580493,3274,14.1548
-1.90688,-2.97607,4.93975,1e-08,1.43724,0.3025,-0.88873,4564,8.56227
-1.90688,-2.97607,4.93975,1e-08,3.36119,1.90069,-0.516953,4200,9.86788
-1.90688,-2.97607,4.93975,1e-08,3.72338,1.41179,0.352886,3324,16.9798
0.0704245,-1.014,5,0.000817193,4.34264,4.61982,-0.916233,4716,3.23071
0.45981,-1.9739,3.05065,0.000322304,4.34264,4.61982,-0.916233,4718,3.70599
-0.0845517,-2.60644,3.79169,1e-08,4.34264,4.61982,-0.916233,4745,2.78318
0.388959,-1.47295,3.94137,0.001,4.34264,4.61982,-0.916233,4711,3.35352
-0.180822,-3,3.75423,1e-08,4.34264,4.61982,-0.916233,4745,1.90292
0.94424,-0.554751,4.97986,0.00077983,4.78799,3.72558,0.530564,3942,13.5226
0.94424,-0.554751,4.97986,0.00077983,0.732811,0.86044,0.580493,4345,12.4698
0.94424,-0.554751,4.97986,0.00077983,1.43724,0.3025,-0.88873,4054,8.80252
0.94424,-0.554751,4.97986,0.00077983,3.36119,1.90069,-0.516953,4008,13.8609
0.94424,-0.554751,4.97986,0.00077983,3.72338,1.41179,0.352886,4276,13.8361
0.0704245,-1.014,5,0.000817193,6,0.15039,-0.889309,4682,5.67753
0.45981,-1.9739,3.05065,0.000322304,6,0.15039,-0.889309,4648,5.62361
-0.0845517,-2.60644,3.79169,1e-08,6,0.15039,-0.889309,4686,4.37143
0.388959,-1.47295,3.94137,0.001,6,0.15039,-0.889309,4681,4.69
-0.180822,-3,3.75423,1e-08,6,0.15039,-0.889309,4713,3.72439
0.0208287,-0.663328,5,0.001,4.78799,3.72558,0.530564,4513,8.67805
0.0208287,-0.663328,5,0.001,0.732811,0.86044,0.580493,3999,15.5703
0.0208287,-0.663328,5,0.001,1.43724,0.3025,-0.88873,4608,8.07775
0.0208287,-0.663328,5,0.001,3.36119,1.90069,-0.516953,4373,8.43148
0.0208287,-0.663328,5,0.001,3.72338,1.41179,0.352886,4061,13.6849
0.0704245,-1.014,5,0.000817193,0.311839,6,1,4646,4.92284
0.45981,-1.9739,3.05065,0.000322304,0.311839,6,1,4681,2.7379
-0.0845517,-2.60644,3.79169,1e-08,0.311839,6,1,4633,5.58982
0.388959,-1.47295,3.94137,0.001,0.311839,6,1,4688,2.69258
-0.180822,-3,3.75423,1e-08,0.311839,6,1,4634,3.72282
1.00063,-2.28173,3.92727,0.000973846,4.78799,3.72558,0.530564,4487,9.18537
1.00063,-2.28173,3.92727,0.000973846,0.732811,0.86044,0.580493,4384,9.17197
1.00063,-2.28173,3.92727,0.000973846,1.43724,0.3025,-0.88873,4146,9.41326
1.00063,-2.28173,3.92727,0.000973846,3.36119,1.90069,-0.516953,4182,10.7638
1.00063,-2.28173,3.92727,0.000973846,3.72338,1.41179,0.352886,4369,9.37729
0.0704245,-1.014,5,0.000817193,1e-06,6,1,4791,0.933324
0.45981,-1.9739,3.05065,0.000322304,1e-06,6,1,4792,0.866025
-0.0845517,-2.60644,3.79169,1e-08,1e-06,6,1,4784,0.790569
0.388959,-1.47295,3.94137,0.001,1e-06,6,1,4791,0.609175
-0.180822,-3,3.75423,1e-08,1e-06,6,1,4792,0.707107
-0.720158,-3,4.89522,1e-08,4.78799,3.72558,0.530564,4323,10.2483
-0.720158,-3,4.89522,1e-08,0.732811,0.86044,0.580493,3694,17.3777
-0.720158,-3,4.89522,1e-08,1.43724,0.3025,-0.88873,4698,3.40725
-0.720158,-3,4.89522,1e-08,3.36119,1.90069,-0.516953,4447,8.48873
-0.720158,-3,4.89522,1e-08,3.72338,1.41179,0.352886,3821,15.084
